time_ns,parallel_raw_sum,perpendicular_raw_sum,parallel_decay_sum,perpendicular_decay_sum,anisotropy_raw_sum,anisotropy_sum,parallel_fit_sum,perpendicular_fit_sum,anisotropy_fit_sum
0.0,0.0,0.0,-659.8889879810896,-513.901355600657,,0.08650136304584291,914920.8179795793,551146.4224689862,0.1803350840805114
0.021,0.0,0.0,-659.8889879810896,-513.901355600657,,0.08650136304584291,908416.4730241061,547676.3792559621,0.18003075807866922
0.042,0.0,0.0,-659.8889879810896,-513.901355600657,,0.08650136304584291,901958.4499693306,544228.1867417231,0.17972648666625785
0.063,0.0,0.0,-659.8889879810896,-513.901355600657,,0.08650136304584291,895546.4187105686,540801.7073097521,0.17942227008831557
0.084,0.0,0.0,-659.8889879810896,-513.901355600657,,0.08650136304584291,889180.0514970477,537396.804210392,0.17911810859081154
0.105,0.0,0.0,-659.8889879810896,-513.901355600657,,0.08650136304584291,882859.0229151088,534013.3415553838,0.1788140024206513
0.126,0.0,0.0,-659.8889879810896,-513.901355600657,,0.08650136304584291,876583.0098715331,530651.1843124413,0.17850995182568363
0.147,0.0,0.0,-659.8889879810896,-513.901355600657,,0.08650136304584291,870351.6915769841,527310.1982998566,0.17820595705470768
0.168,0.0,0.0,-659.8889879810896,-513.901355600657,,0.08650136304584291,864164.74952957,523990.2501811424,0.1779020183574793
0.189,0.0,0.0,-659.8889879810896,-513.901355600657,,0.08650136304584291,858021.8674985225,520691.20745970664,0.1775981359847178
0.21,0.0,0.0,-659.8889879810896,-513.901355600657,,0.08650136304584291,851922.7315079931,517412.938473561,0.17729431018811317
0.231,0.0,0.0,-659.8889879810896,-513.901355600657,,0.08650136304584291,845867.029820962,514155.31239006337,0.17699054122033173
0.252,0.0,0.0,-659.8889879810896,-513.901355600657,,0.08650136304584291,839854.4529232684,510918.1992006919,0.17668682933502516
0.273,0.0,0.0,-659.8889879810896,-513.901355600657,,0.08650136304584291,833884.6935077461,507701.46971585404,0.17638317478683496
0.294,0.0,0.0,-659.8889879810896,-513.901355600657,,0.08650136304584291,827957.4464584807,504504.9955597266,0.17607957783140152
0.315,0.0,0.0,-659.8889879810896,-513.901355600657,,0.08650136304584291,822072.4088351727,501328.649165129,0.1757760387253699
0.336,0.0,0.0,-659.8889879810896,-513.901355600657,,0.08650136304584291,816229.2798576164,498172.3037684287,0.1754725577263976
0.357,0.0,0.0,-659.8889879810896,-513.901355600657,,0.08650136304584291,810427.7608902876,495035.83340447926,0.175169135093161
0.378,0.0,0.0,-659.8889879810896,-513.901355600657,,0.08650136304584291,804667.555427042,491919.1129015895,0.1748657710853632
0.399,0.0,0.0,-659.8889879810896,-513.901355600657,,0.08650136304584291,798948.3690759228,488822.0178765243,0.17456246596374123
0.42,0.0,0.0,-659.8889879810896,-513.901355600657,,0.08650136304584291,793269.9095440764,485744.42472953815,0.17425921999007282
0.441,0.0,0.0,-659.8889879810896,-513.901355600657,,0.08650136304584291,787631.8866227764,482686.2106394386,0.17395603342718413
0.462,0.0,0.0,-659.8889879810896,-513.901355600657,,0.08650136304584291,782034.0121725539,479647.2535586813,0.17365290653895724
0.483,0.0,0.0,-659.8889879810896,-513.901355600657,,0.08650136304584291,776476.0001084338,476627.43220849626,0.17334983959033695
0.504,0.0,0.0,-659.8889879810896,-513.901355600657,,0.08650136304584291,770957.5663852777,473626.62607404456,0.17304683284733904
0.525,0.0,0.0,-659.8889879810896,-513.901355600657,,0.08650136304584291,765478.4289832308,470644.71539960505,0.17274388657705786
0.546,0.0,0.0,-659.8889879810896,-513.901355600657,,0.08650136304584291,760038.307893271,467681.581183793,0.1724410010476725
0.567,0.0,0.0,-659.8889879810896,-513.901355600657,,0.08650136304584291,754636.9251028644,464737.1051748064,0.1721381765284566
0.588,0.0,0.0,-659.8889879810896,-513.901355600657,,0.08650136304584291,749274.0045817203,461811.16986570484,0.171835413289784
0.609,0.0,0.0,-659.8889879810896,-513.901355600657,,0.08650136304584291,743949.2722676502,458903.6584897159,0.17153271160313824
0.63,0.0,0.0,-659.8889879810896,-513.901355600657,,0.08650136304584291,738662.4560525256,456014.45501557307,0.1712300717411188
0.651,0.0,0.0,-659.8889879810896,-513.901355600657,,0.08650136304584291,733413.2857683371,453143.4441428814,0.1709274939774499
0.672,0.0,0.0,-659.8889879810896,-513.901355600657,,0.08650136304584291,728201.4931733538,450290.51129751286,0.1706249785869885
0.693,0.0,0.0,-659.8889879810896,-513.901355600657,,0.08650136304584291,723026.8119383805,447455.54262703174,0.17032252584573163
0.714,0.0,0.0,-659.8889879810896,-513.901355600657,,0.08650136304584291,717888.9776331118,444638.42499614746,0.17002013603082453
0.735,0.0,0.0,-659.8889879810896,-513.901355600657,,0.08650136304584291,712787.7277125872,441839.0459821963,0.1697178094205695
0.756,0.0,0.0,-659.8889879810896,-513.901355600657,,0.08650136304584291,707722.8015037392,439057.2938706527,0.16941554629443295
