time_ns,ch1_decay,ch2_decay,ch1_fit,ch2_fit,anisotropy,anisotropy_from_fits
0.0,-14.902700548635824,-15.02680816976201,300595.7609961438,87559.73885445982,-0.003450783719530853,0.5597782160646823
0.0293,-14.902700548635824,-15.02680816976201,297008.99788767914,86634.77988217265,-0.003450783719530853,0.5591744897318116
0.0586,-14.902700548635824,-15.02680816976201,293465.0397943598,85719.59368711674,-0.003450783719530853,0.5585705451972209
0.0879,-14.902700548635824,-15.02680816976201,289963.375874163,84814.07701371246,-0.003450783719530853,0.5579663829541719
0.1172,-14.902700548635824,-15.02680816976201,286503.5013815378,83918.1276973408,-0.003450783719530853,0.5573620034972485
0.1465,-14.902700548635824,-15.02680816976201,283084.917594649,83031.64465281658,-0.003450783719530853,0.5567574073223656
0.1758,-14.902700548635824,-15.02680816976201,279707.13174348895,82154.52786298365,-0.003450783719530853,0.5561525949267754
0.2051,-14.902700548635824,-15.02680816976201,276369.65693884745,81286.67836743043,-0.003450783719530853,0.5555475668090751
0.2344,-14.902700548635824,-15.02680816976201,273072.0121021296,80427.99825132474,-0.003450783719530853,0.554942323469216
0.2637,-14.902700548635824,-15.02680816976201,269813.7218960106,79578.39063436663,-0.003450783719530853,0.5543368654085089
0.293,-14.902700548635824,-15.02680816976201,266594.316655919,78737.75965985785,-0.003450783719530853,0.553731193129634
0.32230000000000003,-14.902700548635824,-15.02680816976201,263413.3323223366,77906.01048388687,-0.003450783719530853,0.5531253071366482
0.3516,-14.902700548635824,-15.02680816976201,260270.31037390724,77083.04926462812,-0.003450783719530853,0.5525192079349932
0.3809,-14.902700548635824,-15.02680816976201,257164.7977613431,76268.78315175435,-0.003450783719530853,0.551912896031504
0.4102,-14.902700548635824,-15.02680816976201,254096.3468421205,75463.12027596084,-0.003450783719530853,0.5513063719344166
0.4395,-14.902700548635824,-15.02680816976201,251064.51531595454,74665.9697386002,-0.003450783719530853,0.550699636153378
0.4688,-14.902700548635824,-15.02680816976201,248068.866161044,73877.24160142682,-0.003450783719530853,0.550092689199454
0.49810000000000004,-14.902700548635824,-15.02680816976201,245108.96757107688,73096.84687644964,-0.003450783719530853,0.5494855315851375
0.5274,-14.902700548635824,-15.02680816976201,242184.3928929882,72324.69751589202,-0.003450783719530853,0.5488781638243583
0.5567000000000001,-14.902700548635824,-15.02680816976201,239294.72056545998,71560.70640225787,-0.003450783719530853,0.5482705864324919
0.586,-14.902700548635824,-15.02680816976201,236439.53405815584,70804.7873385026,-0.003450783719530853,0.5476627999263689
0.6153000000000001,-14.902700548635824,-15.02680816976201,233618.42181168025,70056.85503830796,-0.003450783719530853,0.5470548048242838
0.6446000000000001,-14.902700548635824,-15.02680816976201,230830.9771782544,69316.82511645969,-0.003450783719530853,0.5464466016460051
0.6738999999999999,-14.902700548635824,-15.02680816976201,228076.79836310042,68584.6140793267,-0.003450783719530853,0.5458381909127848
0.7032,-14.902700548635824,-15.02680816976201,225355.48836652478,67860.13931544103,-0.003450783719530853,0.5452295731473681
0.7325,-14.902700548635824,-15.02680816976201,222666.6549266929,67143.3190861772,-0.003450783719530853,0.5446207488740029
0.7618,-14.902700548635824,-15.02680816976201,220009.91046308685,66434.07251652998,-0.003450783719530853,0.5440117186184513
0.7911,-14.902700548635824,-15.02680816976201,217384.87202063773,65732.3195859899,-0.003450783719530853,0.5434024829079979
0.8204,-14.902700548635824,-15.02680816976201,214791.16121452482,65037.981119514734,-0.003450783719530853,0.542793042271462
0.8497,-14.902700548635824,-15.02680816976201,212228.40417563342,64350.97877859678,-0.003450783719530853,0.5421833972392068
0.879,-14.902700548635824,-15.02680816976201,209696.23149666385,63671.235052424236,-0.003450783719530853,0.5415735483431511
0.9083000000000001,-14.902700548635824,-15.02680816976201,207194.27817888316,62998.673249136125,-0.003450783719530853,0.5409634961167794
0.9376,-14.902700548635824,-15.02680816976201,204722.1835795129,62333.21748716955,-0.003450783719530853,0.5403532410951536
0.9669,-14.902700548635824,-15.02680816976201,202279.59135974417,61674.79268669837,-0.003450783719530853,0.5397427838149236
0.9962000000000001,-14.902700548635824,-15.02680816976201,199866.14943337347,61023.32456116232,-0.003450783719530853,0.5391321248143394
1.0255,-14.902700548635824,-15.02680816976201,197481.50991605144,60378.73960888573,-0.003450783719530853,0.5385212646332617
1.0548,-14.902700548635824,-15.02680816976201,195125.32907513715,59740.965104784635,-0.003450783719530853,0.5379102038131743
1.0841,-14.902700548635824,-15.02680816976201,192797.267280151,59109.929092161656,-0.003450783719530853,0.5372989428971962
1.1134000000000002,-14.902700548635824,-15.02680816976201,190496.98895381897,58485.56037458747,-0.003450783719530853,0.5366874824300927
1.1427,-14.902700548635824,-15.02680816976201,188224.16252370074,57867.78850786813,-0.003450783719530853,0.5360758229582887
1.172,-14.902700548635824,-15.02680816976201,185978.46037439557,57256.54379209718,-0.003450783719530853,0.5354639650298801
1.2013,-14.902700548635824,-15.02680816976201,183759.5588003182,56651.75726379184,-0.003450783719530853,0.5348519091946476
1.2306000000000001,-14.902700548635824,-15.02680816976201,181567.13795903864,56053.36068811216,-0.003450783719530853,0.5342396560040685
1.2599,-14.902700548635824,-15.02680816976201,179400.8818251786,55461.2865511625,-0.003450783719530853,0.5336272060113303
1.2892000000000001,-14.902700548635824,-15.02680816976201,177260.4781448579,54875.46805237428,-0.003450783719530853,0.5330145597713428
1.3185,-14.902700548635824,-15.02680816976201,175145.61839068533,54295.83909696921,-0.003450783719530853,0.5324017178407539
1.3477999999999999,-14.902700548635824,-15.02680816976201,173055.99771728556,53722.33428850222,-0.003450783719530853,0.5317886807779596
1.3771000000000002,-14.902700548635824,-15.02680816976201,170991.31491735775,53154.888921483034,-0.003450783719530853,0.5311754491431214
1.4064,-14.902700548635824,-15.02680816976201,168951.27237825803,52593.4389740759,-0.003450783719530853,0.5305620234981778
1.4357,-14.902700548635824,-15.02680816976201,166935.57603910033,52037.92110087629,-0.003450783719530853,0.5299484044068594
1.465,-14.902700548635824,-15.02680816976201,164943.935348369,51488.27262576397,-0.003450783719530853,0.5293345924347033
1.4943,-14.902700548635824,-15.02680816976201,162976.06322203763,50944.43153483162,-0.003450783719530853,0.5287205881490675
1.5236,-14.902700548635824,-15.02680816976201,161031.67600218716,50406.3364693881,-0.003450783719530853,0.5281063921191457
1.5529000000000002,-14.902700548635824,-15.02680816976201,159110.49341611852,49873.92671903572,-0.003450783719530853,0.5274920049159826
1.5822,-14.902700548635824,-15.02680816976201,157212.2385359526,49347.14221482056,-0.003450783719530853,0.5268774271124887
1.6115,-14.902700548635824,-15.02680816976201,155336.63773871268,48825.923522455254,-0.003450783719530853,0.5262626592834564
